id;modifiedat;deletedat;createdat;filename;task_id;variant_id;student_id
1;2020-11-01T02:44:36;2020-10-31T23:59:22;2020-11-01T15:29:54;Right-sized River quantify;1;1;1
2;2020-11-01T07:15:36;2020-11-01T06:22:05;2020-11-01T14:23:07;Profit-focused;2;2;2
3;2020-11-01T04:53:21;2020-11-01T05:29:54;2020-11-01T12:00:19;copying yellow;3;3;3
4;2020-11-01T15:50:57;2020-11-01T00:35:27;2020-11-01T14:33:08;Solutions sky blue;4;4;4
5;2020-11-01T01:55:08;2020-10-31T23:02:32;2020-11-01T15:29:57;Accounts Bedfordshire;5;5;5
6;2020-10-31T20:44:50;2020-10-31T19:12:53;2020-11-01T04:12:23;compress Shoes;6;6;6
7;2020-11-01T00:12:44;2020-11-01T12:57:52;2020-10-31T23:57:06;Awesome Plastic Chips bluetooth;7;7;7
8;2020-11-01T04:42:48;2020-11-01T17:38:25;2020-10-31T19:13:38;National;8;8;8
9;2020-11-01T04:49:44;2020-11-01T03:28:45;2020-11-01T04:18:50;grey;9;9;9
10;2020-11-01T04:18:59;2020-10-31T22:11:18;2020-11-01T05:28:52;5th generation Ball;10;10;10
