id;ispassed;createdat;modifiedat;deletedat;file_id;variant_id
1;true;2020-11-01T08:37:22;2020-11-01T16:27:55;2020-11-01T15:52:06;1;1
2;false;2020-11-01T13:12:53;2020-11-01T17:44:42;2020-11-01T15:05:37;2;2
3;false;2020-10-31T21:35:03;2020-11-01T11:15:15;2020-11-01T03:30:31;3;3
4;false;2020-11-01T09:36:01;2020-11-01T14:52:50;2020-11-01T00:25:03;4;4
5;true;2020-11-01T13:28:05;2020-11-01T06:42:40;2020-11-01T03:18:00;5;5
6;false;2020-11-01T11:23:06;2020-11-01T11:00:16;2020-11-01T09:23:52;6;6
7;false;2020-11-01T09:05:31;2020-10-31T22:16:30;2020-11-01T03:49:31;7;7
8;false;2020-11-01T15:17:01;2020-11-01T01:31:16;2020-11-01T15:36:26;8;8
9;true;2020-11-01T12:32:00;2020-11-01T09:10:07;2020-11-01T11:43:24;9;9
10;true;2020-11-01T12:16:53;2020-11-01T05:25:00;2020-11-01T17:58:07;10;10
