id;title;hasvariants;modifiedat;deletedat;createdat;user_id
1;withdrawal Moldovan Leu Intelligent;false;2020-10-31T18:20:00;2020-11-01T06:31:15;2020-10-31T18:47:26;2
2;Gloves Washington;true;2020-11-01T03:39:54;2020-11-01T13:53:51;2020-11-01T17:33:42;1
3;Baby Baby morph;false;2020-11-01T04:29:40;2020-10-31T22:40:22;2020-11-01T11:18:26;2
4;Architect;true;2020-11-01T06:53:48;2020-10-31T22:14:24;2020-11-01T00:30:45;2
5;transmit Usability Wisconsin;true;2020-11-01T02:36:27;2020-11-01T09:56:45;2020-11-01T16:43:19;2
6;Home Officer hacking;true;2020-10-31T23:41:55;2020-11-01T17:18:53;2020-11-01T01:23:15;2
7;web-enabled back-end optical;false;2020-11-01T07:00:32;2020-11-01T01:53:28;2020-10-31T22:03:28;2
8;Gorgeous Soft Car;true;2020-11-01T06:24:07;2020-11-01T15:43:56;2020-11-01T00:34:23;1
9;Checking Account integrate Re-contextualized;false;2020-11-01T12:34:38;2020-10-31T21:47:42;2020-10-31T20:53:31;1
10;ADP Western Sahara Plastic;true;2020-10-31T18:36:22;2020-11-01T11:46:45;2020-10-31T23:32:45;2
